,id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_modif_prod,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn,contract_duration_m
0,24011ae4ebbe3035111d65fa7c15bc57,3,0,54946,0,1,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,1,0.0,25.44,25.44,2,678.99,3,3,43.648,1,36.01
1,d29c2c54acc38ff3c0614d0a653813dd,3,4660,0,0,0,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0,0.0,16.38,16.38,1,18.89,6,1,13.8,0,84.3
2,764c75f661154dac3a6c254cd082ea7d,3,544,0,0,0,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,0,0.0,28.6,28.6,1,6.6,6,1,13.856,0,72.02
3,bba03439a292a1e166f80264c16191cb,4,1584,0,0,0,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,0,0.0,30.22,30.22,1,25.46,6,1,13.2,0,72.02
4,149d57cf92fc41cf94415803a877cb4b,4,4425,0,526,0,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,0,52.32,44.91,44.91,1,47.98,6,1,19.8,0,73.76
5,1aa498825382410b098937d65c4ec26d,6,8302,0,1998,1,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,0,181.21,33.12,33.12,1,118.89,4,3,13.2,1,60.02
6,7ab4bf4878d8f7661dfc20e9b8e18011,3,45097,0,0,0,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,0,0.0,4.04,4.04,1,346.63,4,3,15.0,1,60.02
7,01495c955be7ec5e7f3203406785aae0,3,29552,0,1260,0,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,0,70.63,53.92,53.92,1,100.09,6,3,26.4,0,72.02
8,f53a254b1115634330c12c7fdbf7958a,6,2962,0,0,0,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,0,0.0,12.82,12.82,1,42.59,4,1,13.2,0,60.02
9,10c1b2f97a2d2a6f10299dc213d1a370,4,26064,0,2188,1,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,0,219.59,33.42,33.42,1,329.6,6,3,31.5,0,72.02
10,d5e512dbc8118a830a7b8c7f61d89992,6,10831,0,3112,0,1204.58,3112,0.0,20.94,0.1646369999999999,0.087381,44.31137796,0,349.48,14.52,14.52,1,108.5,5,1,11.5,0,60.02
11,6ee77a019251bcc304c88167e0dfcb4c,3,4442,0,2489,0,561.96,2489,0.0,20.5,0.1670859999999999,0.088444,46.30537836,0,308.41,21.09,21.09,1,18.41,6,1,10.392,0,84.01
